Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,Quarter,IsWeekend,Log_Weekly_Sales,WeekOfYear
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,2,5,1,0,14.312455428275923,5
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,12,1,0,14.31140025807736,6
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,19,1,0,14.292967076555646,7
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,26,1,0,14.158907754464193,8
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,5,1,0,14.256862417490069,9
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,3,12,1,0,14.179835975258726,10
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,19,1,0,14.202483596819782,11
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,26,1,0,14.155142739553565,12
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,4,2,2,0,14.282365033827514,13
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,4,9,2,0,14.25080597190662,14
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010,4,16,2,0,14.198088597173271,15
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,23,2,0,14.145718299258707,16
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,30,2,0,14.16975374457638,17
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,2010,5,7,2,0,14.28798371042592,18
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010,5,14,2,0,14.217136639765242,19
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,2010,5,21,2,0,14.151742101335476,20
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,2010,5,28,2,0,14.174632171364747,21
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,2010,6,4,2,0,14.295170978697584,22
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,2010,6,11,2,0,14.248955286787861,23
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,2010,6,18,2,0,14.223163311430442,24
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,2010,6,25,2,0,14.168075888999844,25
